,0,1,2,3,4,5,6,7,8,9,10,11
0,"(6, 0, 0, 6)","(6, 0, 0, 3)","(1, 3, 2, 4)","(5, 1, 3, 3)","(6, 0, 0, 6)","(6, 0, 0, 6)","(2, 2, 1, 1)","(0, 4, 2, 4)","(4, 2, 4, 0)","(0, 4, 2, 4)","(6, 0, 0, 6)","(1, 4, 1, 1)"
1,"(5, 1, 3, 3)","(0, 3, 0, 0)","(0, 4, 2, 4)","(2, 3, 2, 4)","(5, 1, 3, 3)","(5, 1, 3, 3)","(4, 0, 2, 1)","(6, 0, 0, 6)","(5, 1, 3, 3)","(6, 0, 0, 6)","(5, 1, 3, 3)","(4, 1, 1, 5)"
2,"(2, 3, 2, 4)","(3, 1, 1, 0)","(2, 3, 3, 2)","(3, 2, 5, 0)","(2, 3, 2, 4)","(2, 3, 2, 4)","(4, 1, 2, 0)","(2, 3, 3, 2)","(2, 3, 2, 4)","(2, 3, 3, 2)","(2, 3, 2, 4)","(3, 2, 0, 6)"
3,"(3, 2, 5, 0)","(4, 0, 1, 4)","(4, 0, 0, 6)","(4, 1, 1, 5)","(5, 1, 4, 2)","(3, 2, 5, 0)","(2, 1, 5, 0)","(5, 1, 3, 3)","(3, 2, 0, 6)","(5, 1, 3, 3)","(5, 1, 4, 2)","(4, 1, 0, 6)"
4,"(5, 1, 4, 2)","(2, 0, 3, 0)","(1, 4, 0, 4)","(5, 1, 4, 2)","(1, 4, 4, 2)","(5, 1, 4, 2)","(1, 0, 0, 5)","(2, 3, 2, 4)","(5, 1, 4, 2)","(2, 3, 2, 4)","(1, 4, 4, 2)","(6, 0, 1, 5)"
5,"(1, 4, 2, 4)","(3, 0, 1, 5)","(5, 0, 0, 5)","(3, 2, 0, 6)","(6, 0, 4, 2)","(1, 4, 2, 4)","(5, 0, 2, 0)","(1, 4, 2, 3)","(1, 4, 2, 4)","(1, 4, 2, 3)","(6, 0, 4, 2)","(2, 2, 3, 2)"
6,"(6, 0, 4, 2)","(2, 1, 0, 6)","(0, 4, 3, 1)","(1, 4, 2, 4)","(1, 4, 2, 4)","(6, 0, 4, 2)","(0, 1, 0, 5)","(3, 2, 0, 6)","(6, 0, 4, 2)","(5, 1, 4, 2)","(1, 4, 2, 4)","(5, 1, 0, 5)"
7,"(1, 3, 5, 0)","(2, 1, 1, 3)","(1, 4, 2, 3)","(6, 0, 4, 2)","(4, 2, 2, 4)","(1, 3, 5, 0)","(0, 2, 1, 3)","(5, 1, 4, 2)","(4, 2, 2, 4)","(6, 0, 4, 2)","(4, 2, 2, 4)","(2, 3, 2, 0)"
8,"(4, 2, 2, 4)","(3, 0, 2, 2)","(2, 3, 0, 4)","(4, 2, 2, 4)","(2, 3, 4, 2)","(4, 2, 2, 4)","(3, 2, 1, 0)","(6, 0, 4, 2)","(4, 1, 0, 6)","(4, 2, 2, 4)","(2, 3, 4, 2)","(0, 4, 0, 6)"
9,"(6, 0, 1, 5)","(1, 1, 1, 5)","(6, 0, 4, 2)","(4, 1, 0, 6)","(6, 0, 1, 5)","(6, 0, 1, 5)","(2, 0, 2, 3)","(4, 2, 2, 4)","(6, 0, 1, 5)","(1, 3, 4, 0)","(6, 0, 1, 5)","(5, 1, 3, 0)"
10,"(5, 1, 0, 6)","(4, 0, 0, 5)","(5, 1, 4, 1)","(6, 0, 1, 5)","(5, 1, 0, 6)","(5, 1, 0, 6)","(1, 3, 3, 0)","(1, 3, 4, 0)","(4, 1, 5, 0)","(1, 3, 3, 3)","(5, 1, 0, 6)","(1, 2, 3, 3)"
