vp,month,1,2,3,4,5,6,7,8,9,10,11,12
132,1,1,1,0,3.0,3.0,3.0,1.0,0.0,3.0,2.0,2.0,
132,2,1,0,3,3.0,3.0,3.0,1.0,,,,,
132,3,1,1,1,0.0,,,,,,,,
132,4,2,2,1,1.0,2.0,0.0,3.0,3.0,1.0,1.0,,
132,5,1,1,1,0.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,
132,6,1,0,0,0.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,
132,7,0,0,0,2.0,2.0,2.0,1.0,2.0,,,,
132,8,1,1,0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,2.0,
132,9,1,1,1,2.0,0.0,1.0,3.0,3.0,3.0,2.0,3.0,
132,10,1,1,1,1.0,0.0,2.0,2.0,3.0,3.0,3.0,,
132,11,1,1,1,1.0,2.0,2.0,2.0,3.0,3.0,3.0,0.0,
132,12,1,1,1,0.0,3.0,3.0,3.0,3.0,1.0,3.0,,
134,1,3,2,0,1.0,,,,,,,,
134,2,1,0,3,2.0,,,,,,,,
134,3,1,1,1,1.0,2.0,2.0,,,,,,
134,4,1,1,0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,,
134,5,1,1,1,0.0,2.0,2.0,2.0,2.0,1.0,2.0,,
134,6,1,1,1,2.0,2.0,1.0,0.0,2.0,,,,
134,7,1,1,3,0.0,0.0,,,,,,,
134,8,1,1,1,2.0,2.0,2.0,2.0,3.0,,,,
134,9,1,1,1,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,
134,10,1,1,1,0.0,1.0,2.0,2.0,3.0,3.0,,,
134,11,1,1,1,0.0,2.0,1.0,2.0,2.0,2.0,3.0,3.0,
134,12,0,1,1,1.0,1.0,3.0,3.0,3.0,3.0,3.0,,
141,1,2,2,0,0.0,0.0,2.0,3.0,,,,,
141,2,2,2,2,0.0,0.0,,,,,,,
141,3,0,0,2,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,0.0
141,4,0,0,2,2.0,2.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0
141,5,1,1,3,3.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,
141,6,1,1,2,2.0,2.0,3.0,3.0,1.0,0.0,0.0,3.0,
141,7,2,2,2,1.0,1.0,1.0,2.0,2.0,,,,
141,8,1,1,3,3.0,1.0,1.0,3.0,3.0,0.0,2.0,3.0,
141,9,1,1,1,2.0,2.0,3.0,3.0,1.0,0.0,3.0,3.0,
141,10,1,1,1,2.0,2.0,1.0,3.0,3.0,3.0,3.0,,
141,11,1,1,1,1.0,0.0,2.0,2.0,2.0,3.0,3.0,2.0,
141,12,1,1,1,3.0,3.0,3.0,0.0,0.0,3.0,3.0,2.0,
142,1,0,3,2,1.0,1.0,3.0,2.0,0.0,0.0,3.0,,
142,2,1,0,1,0.0,3.0,,,,,,,
142,3,1,1,1,1.0,2.0,3.0,3.0,3.0,,,,
142,4,1,1,0,1.0,1.0,3.0,3.0,2.0,3.0,2.0,,
142,5,1,1,1,0.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,
142,6,0,0,1,1.0,0.0,0.0,2.0,2.0,3.0,3.0,3.0,2.0
142,7,1,0,0,1.0,2.0,2.0,2.0,,,,,
142,8,1,1,1,0.0,2.0,2.0,2.0,3.0,3.0,3.0,,
142,9,1,1,1,1.0,0.0,2.0,2.0,3.0,3.0,3.0,3.0,
142,10,1,1,1,1.0,0.0,2.0,2.0,3.0,,,,
142,11,2,2,2,1.0,1.0,0.0,1.0,2.0,3.0,3.0,1.0,
142,12,1,1,1,0.0,3.0,3.0,3.0,0.0,3.0,3.0,,
146,1,3,2,2,3.0,2.0,3.0,0.0,1.0,0.0,,,
146,2,3,3,3,3.0,2.0,2.0,,,,,,
146,3,0,0,1,1.0,3.0,2.0,1.0,2.0,3.0,,,
146,4,1,1,1,3.0,2.0,3.0,0.0,0.0,3.0,2.0,2.0,
146,5,0,1,1,3.0,2.0,0.0,1.0,3.0,2.0,3.0,2.0,
146,6,1,1,1,0.0,0.0,3.0,3.0,2.0,2.0,2.0,3.0,
146,7,1,1,1,1.0,2.0,2.0,,,,,,
146,8,0,0,1,1.0,3.0,2.0,3.0,2.0,3.0,2.0,,
146,9,1,1,0,0.0,3.0,2.0,3.0,2.0,1.0,3.0,,
146,10,1,1,0,0.0,3.0,3.0,3.0,2.0,2.0,1.0,,
146,11,1,1,1,0.0,2.0,2.0,3.0,0.0,3.0,3.0,2.0,
146,12,1,1,0,2.0,2.0,3.0,3.0,0.0,3.0,,,
152,1,1,1,0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,,
152,2,2,3,0,1.0,0.0,3.0,3.0,,,,,
