task,category,amount_input,clarity_input,amount_action,clarity_action,conflict,cr_outout,cr_evaluation,amount_output,clarity_output,optimal_solution,performance
BST,Simple,1,1,1,1,1,1,1,1,1,1,1
Tower,Simple,1,1,1,1,1,1,1,1,1,1,1
River Crossing,Simple,1,1,1,1,1,1,1,1,1,1,1
Water Jug,Simple,1,1,1,1,1,1,2,1,1,1,1
Katona Card,Simple,1,1,1,1,1,1,1,1,1,1,1
Ricochet Robots,Simple,1,1,1,1,1,1,2,1,1,1,1
Transportation,Dynamic Exploration,1,1,1,2,1,1,1,1,1,1,1
Sugar Production,Dynamic Exploration,1,2,1,2,1,1,1,1,1,2,2
Biology Lab,Dynamic Exploration,1,2,1,2,1,1,1,1,1,2,2
Economic,Dynamic Exploration,1,1,1,2,2,2,2,1,1,2,2
Sudoku,Other,2,1,2,1,1,1,2,2,1,1,1
Triangle,Other,1,2,1,1,2,1,2,1,2,1,1
WPP,Other,2,2,2,1,2,1,2,2,1,2,2
Knapsack,MIP-based,2,1,1,1,2,1,2,1,2,1,1
CVRP,MIP-based,2,1,2,1,1,1,3,2,2,1,1
Traveling Salesperson,MIP-based,2,1,2,1,1,1,3,2,2,1,1
Furniture,Furniture,2,1,2,1,2,2,3,2,2,1,1
Travelplan,MIP-based,2,2,2,1,2,2,3,2,2,1,2
Taylorshop,CPS,3,1,3,2,3,3,3,2,2,3,3
Firefighter,CPS,3,2,3,1,2,2,3,2,3,2,2
Moro,CPS,3,3,3,3,3,3,3,3,3,3,3
Lohhausen,CPS,3,3,3,3,3,3,3,3,3,3,3
